Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4,Patient_1,22,1,Student,0,0,0,0,0,1,Running,2
0.440,0.23,0.35,-0.12,0.20,0.28,0.03,0.64,0.33,-0.40,0.45,-0.21,0.05,0,35,42,19
0.452,0.30,0.23,-0.11,0.18,0.23,0.04,0.73,0.14,-0.26,0.32,-0.09,0.06,0,35,42,20
0.464,0.36,0.07,-0.05,0.19,0.16,0.05,-0.05,0.00,0.16,0.19,-0.09,-0.02,0,36,44,18
0.475,0.10,0.28,0.04,0.21,0.15,0.00,0.04,0.15,-0.10,0.20,-0.09,0.02,0,35,43,19
0.486,0.14,0.15,0.02,0.17,0.12,-0.01,-0.14,0.05,0.00,0.14,-0.00,0.02,0,37,43,19
0.496,0.18,0.17,0.01,0.16,0.11,-0.01,-0.08,0.04,-0.10,0.09,-0.04,-0.02,0,36,44,19
0.506,0.09,0.09,-0.03,0.17,0.11,-0.02,0.02,-0.01,-0.04,0.15,-0.01,0.00,0,37,45,18
0.517,0.08,0.07,0.02,0.17,0.10,-0.03,0.21,-0.06,-0.28,0.15,-0.03,0.00,0,38,45,17
0.527,0.09,0.09,0.03,0.18,0.07,-0.03,0.69,-0.07,-0.30,0.15,-0.02,-0.01,0,37,46,17
0.537,0.01,0.17,-0.05,0.21,0.04,-0.02,-0.30,0.06,0.18,0.27,0.16,0.03,0,36,46,16
0.547,0.13,0.22,-0.09,0.24,0.01,-0.02,-0.34,0.28,-0.06,0.22,0.09,-0.01,0,37,46,16
0.558,-0.05,0.35,-0.13,0.22,-0.01,-0.04,0.07,0.24,-0.24,0.20,0.01,-0.02,0,36,44,16
0.568,-0.28,0.52,-0.18,0.21,-0.01,-0.06,0.00,0.12,-0.22,0.15,0.04,-0.01,0,36,43,18
0.582,-0.12,0.37,-0.18,0.12,-0.04,-0.04,-0.10,0.18,-0.13,0.12,0.04,-0.01,0,38,39,17
0.593,-0.22,0.31,-0.12,-0.00,-0.06,0.01,-0.19,0.24,-0.08,0.09,0.05,0.00,0,38,38,17
0.605,-0.04,0.18,-0.02,-0.06,-0.07,0.03,0.00,-0.06,0.05,0.05,0.05,0.03,0,38,36,17
0.616,0.17,-0.19,0.10,-0.09,-0.06,0.05,-0.03,-0.19,0.07,-0.02,0.07,0.04,0,41,34,17
0.626,0.22,-0.27,0.12,-0.07,-0.05,0.05,-0.06,-0.21,0.10,-0.03,0.08,0.04,0,42,31,16
0.636,0.23,-0.25,0.12,-0.03,-0.03,0.04,0.00,-0.28,0.07,-0.02,0.08,0.03,0,45,30,16
0.648,0.17,-0.08,0.09,0.02,-0.02,0.02,0.00,-0.21,0.12,-0.02,0.07,0.01,0,44,29,16
0.658,0.13,0.00,0.07,0.06,-0.03,0.01,-0.04,-0.11,0.09,-0.05,0.06,0.01,0,45,27,16
0.668,0.10,0.07,0.02,0.09,-0.03,0.01,-0.06,0.02,0.00,-0.03,0.06,0.00,0,46,27,16
0.678,0.12,0.09,-0.03,0.09,-0.02,-0.00,-0.04,0.06,0.01,0.01,0.04,-0.00,0,46,26,15
0.690,0.09,0.12,-0.01,0.08,-0.01,-0.01,-0.05,0.05,0.00,0.01,0.03,0.00,0,47,25,15
0.703,0.08,0.09,-0.01,0.08,-0.00,-0.02,-0.01,0.13,-0.02,0.02,0.02,0.00,0,48,24,15
0.715,0.06,0.05,0.00,0.09,0.00,-0.03,-0.08,0.02,0.00,0.05,0.03,-0.00,0,50,23,15
0.727,0.01,0.11,-0.01,0.10,0.01,-0.05,-0.08,-0.02,0.00,0.08,0.02,-0.01,0,51,23,15
0.737,0.04,0.05,-0.05,0.11,0.02,-0.05,0.00,-0.02,-0.02,0.11,0.02,-0.01,0,51,24,15
0.747,0.07,0.02,-0.07,0.10,0.02,-0.05,0.00,-0.02,-0.02,0.15,0.01,-0.01,0,50,23,15
0.757,0.01,0.00,0.00,0.10,0.02,-0.05,-0.01,0.05,-0.13,0.19,-0.00,-0.01,0,51,24,14
0.768,-0.05,0.00,-0.07,0.10,0.02,-0.05,0.00,-0.01,-0.17,0.19,0.00,-0.01,0,50,32,15
0.778,-0.02,0.07,-0.09,0.10,0.01,-0.05,0.00,0.01,-0.14,0.17,0.01,-0.02,0,55,31,14
0.789,-0.01,0.09,-0.07,0.09,0.00,-0.05,-0.01,0.18,-0.07,0.19,0.01,-0.02,0,59,28,14
0.801,0.00,0.26,-0.07,0.09,-0.01,-0.04,0.02,0.25,-0.06,0.22,0.01,-0.04,0,61,36,13
0.812,0.14,0.31,-0.04,0.07,-0.02,-0.04,0.00,0.18,0.10,0.20,0.02,-0.05,0,64,34,14
0.825,0.12,0.26,0.06,0.04,-0.03,-0.05,0.07,0.17,0.02,0.18,0.02,-0.06,0,66,35,14
0.836,0.21,0.09,-0.01,0.01,-0.04,-0.07,0.09,0.22,-0.04,0.16,0.04,-0.07,0,67,41,14
0.846,0.16,0.01,-0.02,0.00,-0.05,-0.09,0.01,-0.11,0.05,0.03,0.12,-0.08,0,67,47,14
0.858,0.12,0.00,0.00,0.01,-0.06,-0.12,0.02,-0.13,0.03,0.03,0.12,-0.10,0,71,50,14
0.868,0.07,0.05,0.06,0.01,-0.07,-0.13,0.04,-0.03,0.16,0.02,0.12,-0.10,0,74,126,14
0.878,0.01,0.10,0.17,-0.00,-0.07,-0.14,-0.08,0.02,0.41,-0.02,0.12,-0.11,0,75,116,15
0.889,0.06,0.21,0.22,-0.03,-0.07,-0.13,-0.18,-0.04,0.29,-0.08,0.12,-0.11,0,76,219,15
0.903,-0.02,0.13,0.13,-0.07,-0.07,-0.12,-0.04,0.04,0.33,-0.08,0.10,-0.11,0,83,204,18
